model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,cv_f1_macro
random-forest,0.7536723163841808,0.7107056732249877,0.7019460407206418,0.7030599057656186,0.8812330043490199,0.7159408156110584
logistic,0.7322033898305085,0.7019382727731797,0.6993618703026091,0.6916465570231551,0.8666239280876934,0.7056761953163728
